cg00820405	cg06282596	cg06721601	cg12245706	cg14196395	cg17291767	cg18766900	cg20253855	cg21113446	cg22300566
0.3274933669204	0.390237110003912	0.321765057504377	0.383966765861065	0.430171628532725	0.334998941191935	0.342625978088099	0.285988913041377	0.366525716626044	0.414793496874552
0.97780484578565	0.804457620507293	0.77344909060389	0.827411133717814	0.919345967643577	0.822377741791316	0.773867710045363	0.782315784480914	0.762891791533539	0.781256156410233
0.972290645285855	0.111072956622827	0.97684032679935	0.603119108642659	0.542785840452959	0.498727528186757	0.83989220440711	0.90964565521257	0.837844991575044	0.457203180838127
0.516072618900305	0.929039798757286	0.402131689410511	0.599981389011709	0.534826050213053	0.478338331894531	0.646543121330755	0.557623504860836	0.643203921965938	0.41944922309139
0.96811544299872	0.881147380851532	0.886278838346868	0.963180384206239	0.962423061867994	0.947886588751715	0.888945600743254	0.813222354882945	0.645789994402103	0.854418345153477
0.963319241355351	0.645528760804573	0.469454563723987	0.664065186768193	0.67679088055239	0.679330810617024	0.507038873044174	0.492479947426454	0.576806308106713	0.843349210146166
0.979235870667816	0.553008645170265	0.43880219858007	0.934208075557139	0.84823857478063	0.625938494919987	0.484962289846096	0.445678203814076	0.454055279853452	0.772271971524562
0.974647446043544	0.646616592769003	0.561609451521705	0.974642111238319	0.969033329222562	0.775972742523776	0.825346388396461	0.535562172424122	0.647183664268078	0.839444935408985
0.968541379330315	0.890056957429041	0.973365607827382	0.966530240969086	0.957005302981258	0.94326687818994	0.930719791338197	0.966675616678173	0.854042998228151	0.477778772239948
0.964896774544682	0.859565005510561	0.822498968168859	0.848735254293577	0.790785288019959	0.855871846103297	0.625710555934315	0.745212260405843	0.74200109059754	0.71914714382752
0.969485055399851	0.953915501096693	0.981393986473754	0.634097599164762	0.605593204841327	0.772196014020724	0.754618968246709	0.936410251607377	0.876719083015048	0.790625837436745
0.979998677010612	0.956919603182659	0.982036969531285	0.980148841927567	0.979479400652987	0.93003051747248	0.948612515789082	0.947726215045056	0.897679215068444	0.960645898023746
0.984468346276744	0.596397662068795	0.978717916628613	0.983567183912046	0.978746086358476	0.894193141613001	0.551963780763684	0.95262608024699	0.875822009028653	0.826531999317946
0.981956078958899	0.950731099428235	0.985419055475581	0.538373257359906	0.545885932458402	0.93971166301816	0.915685799154893	0.978534838996114	0.877507386240155	0.964074934038028
0.986471576435967	0.981159898766095	0.986675046814853	0.232960010824878	0.177635545099943	0.954867199659029	0.948239628175827	0.965673592609341	0.891697249655055	0.783040352067902
0.975064556674785	0.643514311267064	0.97560217465318	0.851606951252744	0.877164422613648	0.917340029935005	0.958752600599627	0.976470603868364	0.638017994442663	0.8373628223047
0.975614663120226	0.688172762375915	0.631124153629996	0.774550459195777	0.857848742635855	0.751293086919369	0.717395317595166	0.580400468436855	0.526639827134002	0.759502187141443
